{'emoticons': {'Love': 12, 'Like': 416, 'Wow': 79, 'Haha': 4, 'Sad': 291, 'Angry': 1443}, 'feature_emotion': [u'0.131497', u'0.120851', u'0.149771', u'0.512228', u'0.487099']}
{'emoticons': {'Love': 9, 'Like': 407, 'Wow': 64, 'Haha': 14, 'Sad': 399, 'Angry': 353}, 'feature_emotion': [u'0.140946', u'0.091667', u'0.418823', u'0.537327', u'0.533327']}
{'emoticons': {'Love': 18, 'Like': 164, 'Wow': 6, 'Haha': 8, 'Sad': 8, 'Angry': 179}, 'feature_emotion': [u'0.109742', u'0.182337', u'0.196598', u'0.525491', u'0.173433']}
{'emoticons': {'Love': 17, 'Like': 1119, 'Wow': 168, 'Haha': 16, 'Sad': 619, 'Angry': 1701}, 'feature_emotion': [u'0.140641', u'0.153405', u'0.422118', u'0.527496', u'0.507251']}
{'emoticons': {'Love': 8, 'Like': 262, 'Wow': 175, 'Haha': 1, 'Sad': 960, 'Angry': 121}, 'feature_emotion': [u'0.406705', u'0.144846', u'0.425981', u'0.510709', u'0.488885']}
{'emoticons': {'Love': 5, 'Like': 124, 'Wow': 26, 'Haha': 94, 'Sad': 22, 'Angry': 105}, 'feature_emotion': [u'0.12765', u'0.207564', u'0.197734', u'0.520118', u'0.404329']}
{'emoticons': {'Love': 4, 'Like': 114, 'Wow': 11, 'Haha': 35, 'Sad': 14, 'Angry': 93}, 'feature_emotion': [u'0.598407', u'0.141896', u'0.155874', u'0.44145', u'0.445912']}
{'emoticons': {'Love': 49, 'Like': 811, 'Wow': 18, 'Haha': 85, 'Sad': 8, 'Angry': 98}, 'feature_emotion': [u'0.091551', u'0.223977', u'0.418114', u'0.487227', u'0.201618']}
{'emoticons': {'Love': 4, 'Like': 39, 'Wow': 3, 'Haha': 0, 'Sad': 3, 'Angry': 2}, 'feature_emotion': [u'0.238019', u'0.105217', u'0.133234', u'0.491871', u'0.098809']}
{'emoticons': {'Love': 4, 'Like': 59, 'Wow': 8, 'Haha': 27, 'Sad': 3, 'Angry': 6}, 'feature_emotion': [u'0.174988', u'0.106875', u'0.199676', u'0.496097', u'0.466209']}
{'emoticons': {'Love': 6, 'Like': 368, 'Wow': 46, 'Haha': 10, 'Sad': 10, 'Angry': 131}, 'feature_emotion': [u'0.498041', u'0.182447', u'0.480576', u'0.49172', u'0.464994']}
{'emoticons': {'Love': 2, 'Like': 103, 'Wow': 3, 'Haha': 0, 'Sad': 49, 'Angry': 20}, 'feature_emotion': [u'0.393652', u'0.204881', u'0.108674', u'0.573125', u'0.513894']}
{'emoticons': {'Love': 34, 'Like': 722, 'Wow': 144, 'Haha': 486, 'Sad': 147, 'Angry': 982}, 'feature_emotion': [u'0.431241', u'0.133045', u'0.452514', u'0.525391', u'0.471198']}
{'emoticons': {'Love': 8, 'Like': 1019, 'Wow': 173, 'Haha': 9, 'Sad': 2707, 'Angry': 6085}, 'feature_emotion': [u'0.104924', u'0.125282', u'0.438308', u'0.549917', u'0.517075']}
{'emoticons': {'Love': 5, 'Like': 278, 'Wow': 23, 'Haha': 4, 'Sad': 99, 'Angry': 447}, 'feature_emotion': [u'0.712304', u'0.15555', u'0.113268', u'0.521949', u'0.545916']}
{'emoticons': {'Love': 12, 'Like': 685, 'Wow': 69, 'Haha': 15, 'Sad': 197, 'Angry': 4}, 'feature_emotion': [u'0.160224', u'0.159585', u'0.493069', u'0.579168', u'0.152835']}
{'emoticons': {'Love': 115, 'Like': 7374, 'Wow': 210, 'Haha': 1452, 'Sad': 710, 'Angry': 140}, 'feature_emotion': [u'0.183562', u'0.116605', u'0.11574', u'0.525243', u'0.522885']}
{'emoticons': {'Love': 58, 'Like': 693, 'Wow': 85, 'Haha': 0, 'Sad': 0, 'Angry': 3}, 'feature_emotion': [u'0.099882', u'0.272152', u'0.15421', u'0.531848', u'0.190908']}
{'emoticons': {'Love': 7, 'Like': 371, 'Wow': 10, 'Haha': 17, 'Sad': 143, 'Angry': 92}, 'feature_emotion': [u'0.10229', u'0.222649', u'0.185938', u'0.536936', u'0.107723']}
{'emoticons': {'Love': 51, 'Like': 1993, 'Wow': 143, 'Haha': 13, 'Sad': 4, 'Angry': 19}, 'feature_emotion': [u'0.119039', u'0.467259', u'0.175253', u'0.50845', u'0.203017']}
{'emoticons': {'Love': 8, 'Like': 152, 'Wow': 3, 'Haha': 2, 'Sad': 0, 'Angry': 0}, 'feature_emotion': [u'0.11549', u'0.494602', u'0.203082', u'0.488028', u'0.123871']}
{'emoticons': {'Love': 8, 'Like': 193, 'Wow': 1, 'Haha': 2, 'Sad': 0, 'Angry': 0}, 'feature_emotion': [u'0.071777', u'0.471362', u'0.472932', u'0.475085', u'0.441908']}
{'emoticons': {'Love': 51, 'Like': 732, 'Wow': 6, 'Haha': 4, 'Sad': 85, 'Angry': 2}, 'feature_emotion': [u'0.142463', u'0.267651', u'0.133158', u'0.513467', u'0.452578']}
{'emoticons': {'Love': 15, 'Like': 437, 'Wow': 3, 'Haha': 9, 'Sad': 31, 'Angry': 1}, 'feature_emotion': [u'0.148947', u'0.256724', u'0.0967', u'0.596518', u'0.111746']}
{'emoticons': {'Love': 7, 'Like': 133, 'Wow': 1, 'Haha': 1, 'Sad': 1, 'Angry': 15}, 'feature_emotion': [u'0.122561', u'0.184196', u'0.563115', u'0.522371', u'0.149301']}
